Order;Family;Genus;OTU;Sum
Cercomonadida;Cercomonadidae;Cercomonas_XXX;Otu504;1129
Limnofilida;Limnofilidae;Limnofilidae_X;Otu505;1125
Marimonadida;Marimonadida_X;Marimonadida_XX;Otu506;1125
Cercomonadida;Cercomonadidae;Cercomonas;Otu507;1122
Filosa-Imbricatea_X;Novel-Clade-2;Novel-Clade-2_X;Otu508;1118
Cercomonadida;Cercomonadida_XX;Cercomonadida_XXX;Otu509;1118
Filosa-Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Otu510;1114
Cercomonadida;Cercomonadidae;Cercomonas;Otu511;1110
Euglyphida;Euglyphidae;Euglypha;Otu512;1107
Glissomonadida;Sandonidae;Sandonidae_X;Otu513;1099
Glissomonadida;Sandonidae;Sandonidae_X;Otu514;1097
Glissomonadida;Allapsidae;Allapsidae_X;Otu515;1092
Glissomonadida;Allapsidae;Allapsidae_X;Otu516;1087
Limnofilida;Limnofilidae;Limnofilidae_X;Otu517;1082
Glissomonadida;Allapsidae;Allapsidae_X;Otu518;1081
Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;Otu519;1081
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu520;1079
Glissomonadida;Allapsidae;Allantion;Otu521;1078
Cercomonadida;Cercomonadidae;Cercomonas;Otu522;1077
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu523;1077
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu524;1073
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu525;1065
Glissomonadida;Allapsidae;Allapsidae_X;Otu526;1060
