Order;Family;Genus;OTU;Sum
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu192;3422
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu193;3391
Cercomonadida;Cercomonadidae;Cercomonas;Otu194;3378
Glissomonadida;Allapsidae;Allapsidae_X;Otu195;3361
Glissomonadida;Allapsidae;Allapsidae_X;Otu196;3352
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu197;3349
Glissomonadida;Sandonidae;Sandonidae_X;Otu198;3347
Thaumatomonadida;Thaumatomonadida_X;Thaumatomonadida_XX;Otu199;3331
Glissomonadida;Sandonidae;Sandonidae_XXX;Otu200;3312
Euglyphida;Euglyphidae;Euglypha;Otu201;3299
Glissomonadida;Allapsidae;Group_Te;Otu202;3286
Tectofilosida;Fiscullidae;Fiscullidae_X;Otu203;3286
Glissomonadida;Sandonidae;Sandonidae_X;Otu204;3268
Limnofilida;Limnofilidae;Limnofilidae_X;Otu205;3226
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu206;3207
Filosa_X;Filosa_XX;Filosa_XXX;Otu207;3207
Glissomonadida;Allapsidae;Allapsidae_X;Otu208;3202
Filosa-Sarcomonadea_X;Filosa-Sarcomonadea_XX;Filosa-Sarcomonadea_XXX;Otu209;3196
Glissomonadida;Allapsidae;Allapsidae_X;Otu210;3172
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu211;3163
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu212;3149
Cercomonadida;Cercomonadidae;Cercomonas;Otu213;3145
Glissomonadida;Allapsidae;Allapsidae_X;Otu214;3101
Glissomonadida;Allapsidae;Allapsidae_X;Otu215;3082
Plasmodiophorida;Plasmodiophoridae;Plasmodiophora;Otu216;3081
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu217;3062
Tectofilosida;Fiscullidae;Fiscullidae_X;Otu218;3050
Glissomonadida;Sandonidae;Sandonidae_X;Otu219;3024
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu220;3007
Glissomonadida;Bodomorphidae;Bodomorpha;Otu221;2985
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu222;2932
Filosa_X;Filosa_XX;Filosa_XXX;Otu223;2925
Marimonadida;Marimonadida_X;Marimonadida_XX;Otu224;2920
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu225;2913
Cercomonadida;Paracercomonadidae;Nucleocercomonas;Otu226;2910
Glissomonadida;Sandonidae;Sandonidae_X;Otu227;2896
Cercomonadida;Cercomonadidae;Cercomonas;Otu228;2896
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu229;2888
Cryomonadida;Protaspididae;Protaspididae_X;Otu230;2874
Euglyphida;Trinematidae;Corythion;Otu231;2857
Glissomonadida;Allapsidae;Allapsidae_X;Otu232;2853
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu233;2853
Thaumatomonadida;Peregriniidae;Peregrinia;Otu234;2843
Euglyphida;Trinematidae;Trinematidae_X;Otu235;2829
Cercomonadida;Cercomonadidae;Cercomonas;Otu236;2815
Glissomonadida;Allapsidae;Group_Te;Otu237;2808
Glissomonadida;Allapsidae;Group_Te;Otu238;2780
Glissomonadida;Sandonidae;Sandonidae_X;Otu239;2779
Glissomonadida;Allapsidae;Allapsidae_X;Otu240;2778
Tremulida;Tremulidae;Tremula;Otu241;2769
Cercomonadida;Cercomonadidae;Cercomonas;Otu242;2761
Cercomonadida;Cercomonadidae;Eocercomonas;Otu243;2753
Limnofilida;Limnofilidae;Limnofilidae_X;Otu244;2744
Euglyphida;Euglyphidae;Euglypha;Otu245;2737
Cercomonadida;Cercomonadidae;Eocercomonas;Otu246;2730
Cercomonadida;Paracercomonadidae;Nucleocercomonas;Otu247;2729
Glissomonadida;Sandonidae;Sandonidae_XXX;Otu248;2727
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu249;2716
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu250;2697
Glissomonadida;Sandonidae;Bodomorpha;Otu251;2642
Glissomonadida;Sandonidae;Bodomorpha;Otu252;2634
