;Order;Family;Species;bacterivorous;eukaryvorous;omnivorous;plant parasite;parasite (not plant);unknown nutrition;naked flagellate;testate amoeba (silica);testate amoeba (organic/agglutinated);testate amoeboflagellate;testate flagellate;naked amoeboflagellate;intracellular plasmodia/spores;unknown morphology;creeping/gliding;freely swimming;motile zoospore;unknown locomotion;soil/freshwater;marine;ubiquitous;unknown habitat
Otu163;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu164;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu165;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu166;Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu167;Cercomonadida;Cercomonadidae;Cercomonas+alexieffi;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu168;Limnofilida;Limnofilidae;Limnofila+anglica;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu169;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu170;Euglyphida;Euglyphidae;Euglypha+penardi;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu171;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu172;Cryomonadida;Rhogostomidae;Rhogostomidae_X+sp.;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu173;Cryomonadida;Rhogostomidae;Rhogostomidae_X+sp.;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu174;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu175;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu176;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu177;Euglyphida;Euglyphidae;Euglypha+rotunda;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu178;Euglyphida;Euglyphidae;Trachelocorythion+pulchellum;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu179;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu180;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu181;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu182;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu183;Cercomonadida;Cercomonadidae;Cercomonas+longicauda;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu184;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu185;Glissomonadida;Sandonidae;Mollimonas+vickermani;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu186;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu187;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu188;Thaumatomonadida;Thaumatomonadidae;Thaumatomonas+sp.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu189;Cercomonadida;Cercomonadidae;Cercomonas+zhukovi;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu190;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu191;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu192;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu193;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu194;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu195;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu196;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu197;Cercomonadida;Cercomonadidae;Cercomonadidae_X+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu198;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu199;Thaumatomonadida;Thaumatomonadida_X;Thaumatomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
Otu200;Glissomonadida;Sandonidae;Sandonidae_XXX;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu201;Euglyphida;Euglyphidae;Euglypha+penardi;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu202;Glissomonadida;Allapsidae;Group_Te+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu203;Tectofilosida;Fiscullidae;Fiscullidae_X+sp.;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu204;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu205;Limnofilida;Limnofilidae;Limnofilidae_X+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu206;Cryomonadida;Rhogostomidae;Rhogostomidae_X+sp.;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu207;Filosa_X;Filosa_XX;Filosa_XXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu208;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu209;Filosa-Sarcomonadea_X;Filosa-Sarcomonadea_XX;Filosa-Sarcomonadea_XXX;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu210;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu211;Cercomonadida;Cercomonadidae;Cercomonadidae_X+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu212;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu213;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu214;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu215;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu216;Plasmodiophorida;Plasmodiophoridae;Plasmodiophora+brassicae;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
Otu217;Cryomonadida;Rhogostomidae;Rhogostomidae_X+sp.;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu218;Tectofilosida;Fiscullidae;Fiscullidae_X+sp.;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu219;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu220;Cercomonadida;Cercomonadidae;Cercomonadidae_X+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu221;Glissomonadida;Bodomorphidae;Bodomorpha+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu222;Euglyphida;Euglyphida_X;Euglyphida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu223;Filosa_X;Filosa_XX;Filosa_XXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu224;Marimonadida;Marimonadida_X;Marimonadida_XX+sp.;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Otu225;Cercomonadida;Paracercomonadidae;Paracercomonas+oxoniensis;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu226;Cercomonadida;Paracercomonadidae;Nucleocercomonas+praelonga;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0
Otu227;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu228;Cercomonadida;Cercomonadidae;Cercomonas+longicauda;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu229;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu230;Cryomonadida;Protaspididae;Protaspididae_X+sp.;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
Otu231;Euglyphida;Trinematidae;Corythion+dubium;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu232;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu233;Cryomonadida;Rhogostomidae;Rhogostomidae_X+sp.;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu234;Thaumatomonadida;Peregriniidae;Peregrinia+clavideferens;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu235;Euglyphida;Trinematidae;Trinematidae_X+sp.;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu236;Cercomonadida;Cercomonadidae;Cercomonas+longicauda;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu237;Glissomonadida;Allapsidae;Group_Te+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu238;Glissomonadida;Allapsidae;Group_Te+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu239;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu240;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu241;Tremulida;Tremulidae;Tremula+longifila;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu242;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu243;Cercomonadida;Cercomonadidae;Eocercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu244;Limnofilida;Limnofilidae;Limnofilidae_X+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu245;Euglyphida;Euglyphidae;Euglypha+rotunda;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu246;Cercomonadida;Cercomonadidae;Eocercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu247;Cercomonadida;Paracercomonadidae;Nucleocercomonas+praelonga;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0
Otu248;Glissomonadida;Sandonidae;Sandonidae_XXX;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu249;Cercomonadida;Paracercomonadidae;Paracercomonas+compacta;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu250;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu251;Glissomonadida;Sandonidae;Bodomorpha+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu252;Glissomonadida;Sandonidae;Bodomorpha+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu253;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu254;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu255;Plasmodiophorida;S.nasturtii-lineage;Spongospora+sp.;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
Otu256;Cryomonadida;Rhogostomidae;Rhogostomidae_X+sp.;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu257;Euglyphida;Euglyphidae;Euglypha+rotunda;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu258;Novel-Clade-12;NC12B_lineage;NC12B_lineage_X+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu259;Limnofilida;Limnofilidae;Limnofilidae_X+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu260;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu261;Novel-Clade-12;NC12B_lineage;NC12B_lineage_X+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu262;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu263;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu264;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu265;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu266;Cercomonadida;Cercomonadidae;Cercomonas+zhukovi;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu267;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu268;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu269;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu270;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu271;Tectofilosida;Fiscullidae;Fiscullidae_X+sp.;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu272;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu273;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu274;Filosa_X;Filosa_XX;Filosa_XXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu275;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu276;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu277;Krakenida;Krakenidae;Kraken+carinae;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu278;Krakenida;Krakenidae;Kraken+carinae;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu279;Euglyphida;Euglyphida_X;Euglyphida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu280;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu281;Cryomonadida;Protaspididae;Protaspididae_X+sp.;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
Otu282;Limnofilida;Limnofilidae;Limnofilidae_X+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu283;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu284;Euglyphida;Euglyphida_X;Euglyphida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu285;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu286;Cercomonadida;Paracercomonadidae;Paracercomonas+oxoniensis;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu287;Filosa_X;Filosa_XX;Filosa_XXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu288;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu289;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu290;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu291;Euglyphida;Euglyphidae;Euglypha+rotunda;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu292;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu293;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu294;Cercomonadida;Paracercomonadidae;Metabolomonas+insania;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu295;Euglyphida;Euglyphida_X;Euglyphida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu296;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu297;Cryomonadida;Rhogostomidae;Rhogostomidae_X+sp.;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu298;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu299;Glissomonadida;Sandonidae;Flectomonas+ekelundi;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu300;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu301;Tectofilosida;Fiscullidae;Fiscullidae_X+sp.;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu302;Thaumatomonadida;Thaumatomonadida_X;Thaumatomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
Otu303;Cercomonadida;Cercomonadidae;Cercomonas+longicauda;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu304;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu305;Glissomonadida;Sandonidae;Sandona+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu306;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu307;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu308;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu309;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu310;Glissomonadida;Glissomonadida_XX;Glissomonadida_XXX;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu311;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu312;Euglyphida;Euglyphidae;Euglypha+rotunda;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu313;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu314;Limnofilida;Limnofilidae;Limnofilidae_X+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu315;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu316;Cercomonadida;Paracercomonadidae;Nucleocercomonas+praelonga;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0
Otu317;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu318;Cercomonadida;Paracercomonadidae;Paracercomonas+virgaria;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu319;Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu320;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu321;Filosa-Granofilosea_X;Massiteriidae;Massisteria+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
Otu322;Glissomonadida;Allapsidae;Group_Te+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu323;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu324;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu325;Cryomonadida;Protaspididae;Protaspididae_X+sp.;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
Otu326;Cercomonadida;Paracercomonadidae;Paracercomonas+virgaria;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu327;Glissomonadida;Allapsidae;Group_Te+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu328;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu329;Glissomonadida;Dujardinidae;Dujardina+stenomorpha;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu330;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu331;Euglyphida;Euglyphidae;Euglypha+rotunda;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu332;Glissomonadida;Sandonidae;Flectomonas+ekelundi;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu333;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu334;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu335;Cryomonadida;Rhogostomidae;Rhogostomidae_X+sp.;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu336;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu337;Novel_Clade-10-12_X;Novel_Clade-10-12_XX;Novel_Clade-10-12_XXX;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
